kata,arti,kelas_kata
meng.kon.sul.ta.si.kan,→ mengonsultasikan,
meng.kon.sum.si,→ mengonsumsi,
meng.ko.or.di.na.si.kan,→ mengoordinasikan,
meng.ko.tak-ko.tak.kan,→ mengotak-ngotakkan,
mengkreasi,-,-
mengkreatifkan,-,-
mengkredit,-,-
mengkreditkan,-,-
mengkremasi,-,-
mengkriminalisasi,-,-
mengkriminalisasikan,-,-
mengkriminalkan,-,-
mengkrisis,-,-
mengkristal,-,-
mengkristalkan,-,-
mengkristenkan,-,-
mengkritik,-,-
mengkritis,-,-
mengkritisi,-,-
mengkuan,-,-
meng.ku.ang,→ bengkuang (1),
mengkudu,-,-
mengkurasi,-,-
mengoagulasi,-,-
mengobarkan,-,-
mengobati,-,-
mengobatkan,-,-
mengobeng,-,-
mengobjek,-,-
mengobjekkan,-,-
mengobok,-,-
mengobor,-,-
mengobori,-,-
mengobral,-,-
mengobralkan,-,-
mengobras,-,-
mengobrol,-,-
mengobrolkan,-,-
mengobservasi,-,-
mengocak,-,-
mengocakkan,-,-
mengocar-ngacirkan,-,-
mengoceh,-,-
mengocok,-,-
mengocong,-,-
mengocongkan,-,-
mengocor,-,-
mengodekan,-,-
mengodifikasikan,-,-
mengodok,-,-
mengodol,-,-
mengodol-odol,-,-
mengodol-odol kapuk,mengeluarkan (memisahkan) biji-biji buah kapuk,
mengodor,-,-
mengoek,-,-
mengogah,-,-
mengogam,-,-
mengogel,-,-
mengogok,-,-
mengogok-ogok,-,-
mengogokkan,-,-
mengoja,-,-
mengojek,-,-
mengojekkan,-,-
mengojok,-,-
me.ngok,→ mengot,
mengokang,-,-
mengokohkan,-,-
mengokol,-,-
mengokot,-,-
mengoksidan,-,-
mengoksidasi,-,-
mengokupasi,-,-
mengolaborasi,-,-
mengolaborasikan,-,-
mengolah,-,-
mengolah bahan mentah,mengusahakan bahan mentah menjadi bahan industri dan sebagainya,
mengolah bola,membawa bola dengan berkelik,
mengolah kue,memasak kue (membuat kue),
mengolah napas,melatih napas untuk menguatkan tenaga batin (kekuatan yang bersumber dari jiwa),
mengolah pikir,melatih berpikir untuk mempertajam daya tangkap,
mengolah rasa,melatih rasa (batin) untuk menguatkan dan menyehatkan batin serta meningkatkan kemampuan daya tangkap batin,
mengolah seni,mengadakan latihan seni,
mengolah suara,melatih suara dengan tujuan untuk menghasilkan suara yang jelas dan merdu melalui teknik pernapasan yang tepat,
mengolah tanah,menggarap tanah untuk ditanami,
mengolahragakan,-,-
mengolak,-,-
mengolak-alik,-,-
mengolak-alikkan,-,-
mengolang-aling,-,-
mengolang-alingkan,-,-
mengoleh-olehi,-,-
mengolek,-,-
mengoleksi,-,-
mengoleng,-,-
mengoleng-oleng,-,-
mengoles,-,-
mengoleskan,-,-
mengolet,-,-
mengolok-olok,-,-
mengomandani,-,-
mengomando,-,-
mengomandokan,-,-
mengombak,-,-
mengombang-ambing,-,-
mengombang-ambingkan,-,-
mengombinasikan,-,-
mengomel,-,-
mengomeli,-,-
mengomentari,-,-
mengomersialkan,-,-
mengomidikan,-,-
mengomisi,-,-
mengomong,-,-
mengomongkan,-,-
mengompakkan,-,-
mengompas,-,-
mengompensasi,-,-
mengompes,-,-
mengompilasikan,-,-
mengompol,-,-
mengompori,-,-
mengompos,-,-
mengomposkan,-,-
mengompreng,-,-
mengompres,-,-
mengompresi,-,-
mengomprong,-,-
mengomputerisasi,-,-
mengomputerisasikan,-,-
mengomputerkan,-,-
mengomunikasikan,-,-
mengomuniskan,-,-
mengonan,-,-
mengonarkan,-,-
mengonde,-,-
mengondensasikan,-,-
mengondisikan,-,-
mengondokkan,-,-
mengonferensikan,-,-
mengonfirmasi,-,-
mengonfirmasikan,-,-
mengonfrontasi,-,-
mengonfrontasikan,-,-
mengonggok,-,-
mengonggokkan,-,-
mengongkang-ongkang,-,-
mengongkok-ongkok,-,-
mengongkoki,-,-
mengongkong,-,-
mengongkosi,-,-
mengononkan,-,-
mengonsentrasikan,-,-
mengonsep,-,-
mengonsepkan,-,-
mengonservasi,-,-
mengonsistenkan,-,-
mengonsistensi,-,-
mengonslah,-,-
mengonsolidasikan,-,-
mengonstatasi,-,-
mengonstatir,-,-
mengonstruksi,-,-
mengonsultasikan,-,-
mengonsumsi,-,-
mengontak,-,-
mengontaminasi,-,-
mengontan,-,-
mengonter,-,-
mengontrak,-,-
mengontrakkan,-,-
mengontraksikan,-,-
mengontraskan,-,-
mengontribusi,-,-
mengontrol,-,-
mengonvergensikan,-,-
mengonversi,-,-
mengonversikan,-,-
mengonyah-anyih,-,-
mengonyok,-,-
mengonyokkan,-,-
mengonyot,-,-
mengooptasi,-,-
mengoordinasi,-,-
mengoordinasikan,-,-
mengopak,-,-
mengopak-apik,-,-
mengopek,-,-
mengopeletkan,-,-
mengopeni,-,-
mengoper,-,-
mengoperasi,-,-
mengoperasikan,-,-
mengoperasionalkan,-,-
mengoperkan,-,-
mengopi,-,-
mengoplos,-,-
mengoposisi,-,-
mengoprek,-,-
mengoptimalkan,-,-
mengoptimumkan,-,-
mengopyok,-,-
me.ngor,→ mengot,
mengorak,-,-
mengorak pura,membayar utang,
mengorak selimut,membuka selimut,
mengorak senyum,tersenyum,
mengorak sila,bangkit berdiri dan pergi,
mengorak-arik,-,-
mengoral,-,-
mengorangkan,-,-
mengorankan,-,-
mengorat-oret,-,-
mengorbankan,-,-
mengorbit,-,-
mengorbitkan,-,-
mengorder,-,-
mengored,-,-
mengorek,-,-
mengorek lubang ulat,sengaja mencari alasan untuk bertengkar,
mengorek-ngorek,-,-
mengoreksi,-,-
mengorelasikan,-,-
mengoret-oret,-,-
mengorganisasi,-,-
mengorkestrasikan,-,-
mengornamenkan,-,-
mengorok,-,-
mengorok-orok,-,-
mengorting,-,-
mengorup,-,-
mengorupsi,-,-
mengosek,-,-
mengosongkan,-,-
mengot,-,-
mengota,-,-
mengotai,-,-
mengotak,-,-
mengotak-atik,-,-
mengotak-ngatikkan,-,-
mengotak-ngotakkan,-,-
mengotakan,-,-
mengotaki,-,-
mengotek,-,-
mengotes,-,-
mengotomatiskan,-,-
mengotonomikan,-,-
mengotori,-,-
mengotorkan,-,-
mengotot,-,-
mengover,-,-
mengoyak,-,-
mengoyak-ngoyak,-,-
mengoyak-ngoyakkan,-,-
mengoyak-oyak,-,-
mengoyok,-,-
mengoyos,-,-
mengqada,-,-
mengqasar,-,-
mengsol,-,-
meng.song,→ mengsol,
menguahi,-,-
menguahkan,-,-
menguak,-,-
menguak-nguak bagai hidung gajah,bernapas terengah-engah,
menguakkan,-,-
mengualifikasikan,-,-
menguangi,-,-
menguangkan,-,-
menguani,-,-
menguankan,-,-
menguantifikasi,-,-
menguap,-,-
menguapi,-,-
menguapkan,-,-
menguar,-,-
menguar-nguarkan,-,-
menguar-uarkan,-,-
menguarkan,-,-
menguasai,-,-
menguasakan,-,-
menguat,-,-
menguati,-,-
menguati harta orang,mengambil harta orang (lain) dengan paksa,
menguatkan,-,-
mengubah,-,-
mengubah bentuk,-,-
mengubah kata,mengingkari janji,
mengubah-ubah,-,-
mengubahkan,-,-
mengubahsuaikan,-,-
mengubak,-,-
menguban,-,-
mengubang,-,-
mengubangkan,-,-
mengubani,-,-
mengubar,-,-
mengubek-ubek,-,-
menguber,-,-
menguber-uber,-,-
mengubik,-,-
mengubit,-,-
mengubit-ubit,-,-
mengubrak-abrik,-,-
mengubrakan,-,-
mengububi,-,-
mengubui,-,-
mengubung,-,-
mengubungkan,-,-
mengubur,-,-
menguburkan,-,-
mengubus,-,-
mengucai,-,-
mengucak,-,-
mengucap,-,-
mengucapi,-,-
mengucapkan,-,-
mengucar-ngacirkan,-,-
mengucek,-,-
mengucek-ngucek,-,-
mengucek-ucek,-,-
mengucil,-,-
mengucilkan,-,-
mengucir,-,-
mengucup,-,-
mengucur,-,-
mengucuri,-,-
mengucurkan,-,-
mengudak,-,-
mengudap,-,-
mengudar,-,-
mengudara,-,-
mengudarakan,-,-
mengudari,-,-
mengudarkan,-,-
mengudek,-,-
mengudeta,-,-
mengudian,-,-
mengudiankan,-,-
mengudung,-,-
mengudungkan,-,-
menguduskan,-,-
mengudut,-,-
mengufurkan,-,-
mengugemi,-,-
mengugut,-,-
menguik,-,-
menguik-uik,-,-
menguis,-,-
menguis-uis,-,-
menguit,-,-
mengujarkan,-,-
menguji,-,-
menguji coba,-,-
mengujicobakan,-,-
mengujud,-,-
mengujudkan,-,-
mengujung,-,-
mengujut,-,-
mengukir,-,-
mengukir dalam hati,mengingat baik-baik dalam hati,
mengukir langit,mengerjakan sesuatu yang sia-sia,
mengukiri,-,-
mengukirkan,-,-
mengukuhi,-,-
mengukuhkan,-,-
mengukupi,-,-
mengukur,-,-
mengukur baju di badan sendiri,menentukan baik buruknya sesuatu menurut perasaan diri sendiri,
mengukur jalan,-,-
mengukus,-,-
mengulak,-,-
mengulang,-,-
mengulang-ulang,-,-
mengulangi,-,-
mengular,-,-
mengulas,-,-
mengulas bicara,menyambung (melanjutkan) bicara,
mengulas kayu,menyambung kayu,
mengulas nyawa,"menyelamatkan orang dari bahaya maut, menyembuhkan (dari sakit)",
mengulas tangan,membantu,
mengulas-ulas,-,-
mengulasi,-,-
mengulek,-,-
mengulemi,-,-
menguleni,-,-
mengules,-,-
menguli,-,-
menguliahi,-,-
mengulik,-,-
mengulir,-,-
mengulit,-,-
mengulit-ulit,-,-
menguliti,-,-
mengulitkan,-,-
mengultur,-,-
mengultuskan,-,-
mengulub,-,-
mengulum,-,-
mengulum sirih,makan sirih,
mengulum-ngulum,-,-
mengulur,-,-
mengulur lidah,-,-
mengulur-ulur,-,-
mengulurkan,-,-
mengulurkan tangan,menganjurkan tangan ke muka (mengajak bersalaman dan sebagainya),
mengulurkan tangan,-,-
mengumai,-,-
mengumaikan,-,-
mengumalkan,-,-
menguman,-,-
menguman-uman,-,-
mengumandang,-,-
mengumandangkan,-,-
mengumbah,-,-
mengumban,-,-
mengumbang,-,-
mengumbang-ambingkan,-,-
mengumbankan,-,-
mengumbar,-,-
mengumbar-umbar,-,-
mengumbuk,-,-
mengumbut,-,-
mengumbut hati,"menarik hati, mengambil hati",
mengumbut nyawa,"mencabut nyawa, membunuh",
mengumpak,-,-
mengumpak-umpak,-,-
mengumpamai,-,-
mengumpamakan,-,-
mengumpan,-,-
mengumpani,-,-
mengumpankan,-,-
mengumpar,-,-
mengumpat,-,-
mengumpet,-,-
mengumpil,-,-
mengumpul,-,-
mengumpulkan,-,-
mengumrahkan,-,-
mengumuhkan,-,-
mengumumkan,-,-
mengumun,-,-
mengumunkan,-,-
mengunci,-,-
menguncikan,-,-
menguncup,-,-
menguncupkan,-,-
menguncupkan tangan,mengatupkan tangan seperti hendak menyembah,
mengundai,-,-
mengundak,-,-
mengundang,-,-
mengundangkan,-,-
mengundi,-,-
mengunduh,-,-
mengunduh mantu,upacara menerima pasangan pengantin (oleh orang tua pengantin laki-laki setelah berakhirnya upacara pernikahan di rumah pengantin perempuan),
mengundur,-,-
mengundurkan,-,-
mengung,-,-
mengungam,-,-
mengunggah,-,-
mengunggas,-,-
mengunggas puding,-,-
mengunggis,-,-
mengungguli,-,-
mengunggulkan,-,-
mengunggun,-,-
mengunggunkan,-,-
mengunggut,-,-
mengungkah,-,-
mengungkai,-,-
mengungkang,-,-
mengungkap,-,-
mengungkapi,-,-
mengungkapkan,-,-
mengungkat-ungkat,-,-
mengungkil,-,-
mengungkit,-,-
mengungkit batu di bencah,melakukan pekerjaan yang sukar,
mengungkit-ungkit,-,-
mengungkung,-,-
mengungsi,-,-
mengungsikan,-,-
menguning,-,-
menguningkan,-,-
mengunjuk,-,-
mengunjukkan,-,-
mengunjun,-,-
mengunjungi,-,-
mengunjungkan,-,-
mengunjur,-,-
mengunjurkan,-,-
mengunjutkan,-,-
menguntai,-,-
menguntal,-,-
menguntil,-,-
mengunting,-,-
menguntir,-,-
menguntit,-,-
menguntiti,-,-
menguntukkan,-,-
menguntum,-,-
menguntungkan,-,-
mengunyah,-,-
mengunyah orang bergigi,mengajar (memberi tahu) orang yang sudah tahu,
mengunyah-ngunyah,-,-
mengunyahkan,-,-
mengunyai,-,-
mengupa,-,-
mengupa-upa,-,-
mengupacarai,-,-
mengupah,-,-
mengupahi,-,-
mengupahkan,-,-
mengupak,-,-
mengupam,-,-
mengupar,-,-
menguparkan,-,-
mengupas,-,-
mengupaskan,-,-
mengupayakan,-,-
mengupil,-,-
menguping,-,-
mengupingi,-,-
mengurah,-,-
mengurai,-,-
menguraikan,-,-
menguraikan janji,"membatalkan janji, tidak meneruskan janji",
menguraikan kalimat,mencerai-ceraikan bagian kalimat (menurut jenis kata atau jabatan katanya),
menguraikan nikah,-,-
menguraikan persenyawaan,memisahkan unsur-unsur dalam persenyawaan,
mengurang,-,-
mengurangi,-,-
mengurangkan,-,-
mengurap,-,-
mengurapi,-,-
menguras,-,-
mengurasi,-,-
menguraskan,-,-
menguratori,-,-
mengurbankan,-,-
menguret,-,-
menguri,-,-
mengurik,-,-
mengurik-urik,-,-
mengursus,-,-
mengursuskan,-,-
menguruk,-,-
mengurukkan,-,-
menguruma,-,-
mengurung,-,-
mengurungkan,-,-
mengurup,-,-
mengurus,-,-
mengurus buku,mencatat keluar masuknya uang dalam perniagaan,
mengurus diri,merawat kesehatan diri,
mengurusi,-,-
menguruskan,-,-
mengurut,-,-
mengurut dada,"mengusap dadanya karena merasa kecewa, sedih, susah, terharu, dan sebagainya",
mengurut hati,-,-
mengurut kacang,cara menghitung dengan mendahulukan yang lebih besar atau lebih senior,
mengurut kuduk,-,-
mengurut naik,-,-
mengurut turun,-,-
mengurutkan,-,-
mengusa,-,-
mengusahakan,-,-
mengusai,-,-
mengusaikan,-,-
mengusaki,-,-
mengusal,-,-
mengusang,-,-
mengusap,-,-
mengusap dada,"mengurut dada (menyatakan kecewa, susah, dan sebagainya)",
mengusik,-,-
mengusil-usil,-,-
mengusil-usilkan,-,-
mengusir,-,-
"mengusir asap, meninggalkan api",mencari sesuatu yang kurang penting dan meninggalkan yang lebih penting,
mengusruk,-,-
mengusrukkan,-,-
mengusta,-,-
mengusuk,-,-
mengusul,-,-
mengusuli,-,-
mengusulkan,-,-
mengusung,-,-
mengusut,-,-
mengusutkan,-,-
mengutak-atik,-,-
mengutak-ngatikkan,-,-
mengutamakan,-,-
mengutangi,-,-
mengutangkan,-,-
mengutara,-,-
mengutarakan,-,-
menguti,-,-
mengutik,-,-
mengutik-ngutik,-,-
mengutik-utik,-,-
mengutil,-,-
mengutip,-,-
mengutub,-,-
mengutuh,-,-
mengutuhkan,-,-
mengutui,-,-
mengutuk,-,-
mengutuki,-,-
mengutus,-,-
menguyup,-,-
menguyupkan,-,-
menhan,-,-
menhankam,-,-
menhir,-,-
menhub,-,-
menhubtel,-,-
meni,-,-
meniada,-,-
meniadakan,-,-
meniaga,-,-
meniagakan,-,-
meniangpancangi,-,-
meniani,-,-
meniapkan,-,-
meniarap,-,-
meniarapkan,-,-
meniatkan,-,-
menidakkan,-,-
meniduri,-,-
menidurkan,-,-
meniga,-,-
meniga hari,mengadakan selamatan pada hari yang ke-3 sesudah seseorang meninggal,
menigari,-,-
menigas,-,-
menihilkan,-,-
menika-nika,-,-
menikah,-,-
menikahi,-,-
menikahkan,-,-
menikai,-,-
menikam,-,-
menikamkan,-,-
menikas,-,-
menikmati,-,-
menikung,-,-
menikus,-,-
me.ni.la,→ manila (1),
menilai,-,-
menilang,-,-
menilap,-,-
menilik,-,-
menilik ketika,"meramal waktu (baik atau buruk) yang didasarkan atas perhitungan bilangan waktu (ketika empat, ketika lima, dan sebagainya), misalnya untuk melakukan kegiatan, seperti pindah rumah, perkawinan",
menilik nujum,meramal dengan melihat ilmu perbintangan,
menimang,-,-
menimang-nimang,-,-
menimangkan,-,-
menimba,-,-
menimbal,-,-
menimbali,-,-
menimbang,-,-
menimbang hangat,"menimbang dengan tidak kurang sedikit pun, bahkan agak lebih",
menimbang sama berat,"menjatuhkan hukuman dengan adil, tidak berat sebelah",
menimbang-nimbang,-,-
menimbangi,-,-
menimbangkan,-,-
menimbau,-,-
menimbel,-,-
menimbrung,-,-
menimbuk,-,-
menimbul,-,-
menimbulkan,-,-
menimbun,-,-
menimbun-nimbun,-,-
menimbuni,-,-
menimbunkan,-,-
menimbus,-,-
menimbusi,-,-
menimpa,-,-
menimpakan,-,-
menimpali,-,-
menimpang,-,-
menimpang-nimpangkan,-,-
menimpangkan,-,-
menimpuk,-,-
menimpuki,-,-
menimur,-,-
meninabobokan,-,-
menindak,-,-
menindakkan,-,-
menindaklanjuti,-,-
menindan,-,-
menindas,-,-
menindih,-,-
menindik,-,-
meninggal,-,-
meninggal dunia,"meninggal, berpulang",
meninggali,-,-
meninggalkan,-,-
meninggam,-,-
meninggi,-,-
meninggikan,-,-
meninggikan diri,-,-
meninggung,-,-
meninggur,-,-
meningitis,-,-
meningitofobia,-,-
meningkah,-,-
meningkahi,-,-
meningkap,-,-
meningkar,-,-
meningkat,-,-
meningkat-ningkat,-,-
meningkatkan,-,-
meningkatkan diri,"mengangkat diri, memegahkan diri",
meningratkan,-,-
meninjau,-,-
meninju,-,-
meninjukan,-,-
menintai,-,-
meninting,-,-
menipis,-,-
menipiskan,-,-
menipu,-,-
menir,-,-
me.ni.ra,→ manira,
meniran,-,-
meniris,-,-
meniriskan,-,-
meniru,-,-
meniru-niru,-,-
menirukan,-,-
menirus,-,-
menisbahkan,-,-
menisbikan,-,-
meniscayakan,-,-
menisik,-,-
menisiki,-,-
meniskus,-,-
menista,-,-
menistakan,-,-
menit,-,-
menitah,-,-
menitah-nitah,-,-
menitahkan,-,-
menitar-nitarkan,-,-
meniti,-,-
meniti air,"orang yang menolong mencarikan keuntungan dan sebagainya, perantara",
meniti buih,-,-
menitik,-,-
menitikberatkan,-,-
menitiki,-,-
menitikkan,-,-
menitip,-,-
menitipkan,-,-
menitir,-,-
menitis,-,-
menitiskan,-,-
meniup,-,-
meniup-niup,-,-
meniupkan,-,-
meniwahkan,-,-
menjabal,-,-
menjabarkan,-,-
menjabat,-,-
menjadi,-,-
menjadi air,-,-
menjadi air mandi,-,-
menjadi bumi langit,-,-
menjadi hakim sendiri,berbuat sewenang-wenang terhadap orang yang dianggap salah,
menjadi pikiran,menjadi masalah yang harus dipikirkan,
menjadi setawar dan sedingin,menjadi penghibur hati,
menjadi-jadi,-,-
menjadi-jadikan,-,-
menjadikan,-,-
menjadikan hati,menyebabkan marah (kurang senang dan sebagainya),
menjadwalkan,-,-
menjaga,-,-
menjaga diri,bertindak hati-hati agar tidak mendapat kesulitan,
menjaga hati,menenggang perasaan,
menjaga langkah,menjaga diri,
menjaga mata,bertindak hati-hati dengan tidak memperhatikan hal-hal yang tidak patut dilihat,
menjaga mulut,berbicara hati-hati agar tidak menyakitkan hati orang lain,
menjaga nama baik,menjaga harga diri,
menjaga telinga,bertindak hati-hati dengan tidak mendengarkan hal-hal yang tidak patut didengar,
menjagakan,-,-
menjagal,-,-
menjagoi,-,-
menjagokan,-,-
menjagung,-,-
menjahanamkan,-,-
menjahar,-,-
menjahati,-,-
menjahatkan,-,-
menjahili,-,-
menjahit,-,-
menjaili,-,-
menjaja,-,-
menjajah,-,-
menjajahi,-,-
menjajakan,-,-
menjajaki,-,-
menjajal,-,-
menjajar,-,-
menjajarkan,-,-
men.jak,→ semenjak,
menjala,-,-
menjalakan,-,-
menjalang,-,-
menjalani,-,-
menjalankan,-,-
menjalankan jarum halus,mengenakan tipu muslihat yang lain,
menjalar,-,-
menjalari,-,-
menjalarkan,-,-
menjalin,-,-
menjalinkan,-,-
menjalu,-,-
menjamah,-,-
menjamak,-,-
menjamakkan,-,-
menjambak,-,-
menjambret,-,-
menjamin,-,-
menjaminkan,-,-
menjampi,-,-
menjampikan,-,-
menjampuk,-,-
menjamu,-,-
menjamukan,-,-
menjamur,-,-
men.ja.na,→ semenjana,
menjanda,-,-
menjangak,-,-
menjangan,-,-
menjangankan,-,-
menjangat,-,-
menjangati,-,-
menjanggalkan,-,-
menjangka,-,-
menjangkah,-,-
menjangkakan,-,-
menjangkang,-,-
menjangkar,-,-
menjangkau,-,-
menjangkau sehabis tangan,berusaha dengan sungguh-sungguh untuk mencapai maksud,
menjangki,-,-
menjangkiti,-,-
menjangkitkan,-,-
menjangol,-,-
menjanjikan,-,-
menjantang,-,-
menjantani,-,-
menjantung,-,-
menjantung sungsang,-,-
menjantur,-,-
menjara,-,-
menjarah,-,-
menjarak,-,-
menjaraki,-,-
menjarakkan,-,-
menjaram,-,-
menjarang,-,-
menjarangkan,-,-
menjaras,-,-
menjari,-,-
menjaring,-,-
menjaring angin,perbuatan yang sia-sia belaka,
menjaringkan,-,-
menjarum,-,-
menjarum merah,-,-
menjatah,-,-
menjatahi,-,-
menjatuhi,-,-
menjatuhkan,-,-
menjatuhkan denda,mengenakan denda,
menjatuhkan hukum,memutuskan perkara,
menjatuhkan hukuman,memberi hukuman,
menjatuhkan talak,menceraikan istri,
menjatuhkan tangan,memberi hukuman,
menjauh,-,-
menjauhi,-,-
menjauhkan,-,-
menjauhkan tegak,tidak melakukan apa-apa yang terlarang,
menjawab,-,-
menjawat,-,-
menjawikan,-,-
menjawil,-,-
menjayakan,-,-
menjebak,-,-
menjebloskan,-,-
menjebluk,-,-
menjebol,-,-
menjebolkan,-,-
menjebolkan gawang,-,-
menjebrolkan,-,-
menjebur,-,-
menjeburkan,-,-
menjedot-jedotkan,-,-
menjedotkan,-,-
menjegal,-,-
menjegil,-,-
menjejak,-,-
menjejaki,-,-
menjejakkan,-,-
menjejal,-,-
menjejali,-,-
menjejalkan,-,-
men.je.lai,→ enjelai,
menjelajah,-,-
menjelajahi,-,-
menjelajahkan,-,-
menjelanak,-,-
menjelang,-,-
menjelangak,-,-
menjelangi,-,-
menjelar,-,-
menjelaskan,-,-
menjelau,-,-
menjelejeh,-,-
menjelek-jelekkan,-,-
menjelekkan,-,-
menjelempah,-,-
menjelengar,-,-
menjelepak,-,-
menjelepok,-,-
menjelihkan,-,-
menjelijih,-,-
menjelimet,-,-
menjelimpat,-,-
menjeling,-,-
menjelirkan,-,-
men.je.lis,→ majelis (1),
menjelitkan,-,-
menjelma,-,-
menjelmakan,-,-
menjeluak,-,-
menjelujur,-,-
menjelujuri,-,-
menjelum,-,-
menjelungkap,-,-
menjelunut,-,-
menjeluskan,-,-
menjelut,-,-
menjemaahkan,-,-
menjemba,-,-
menjembak,-,-
menjembatani,-,-
menjempalit,-,-
menjemput,-,-
menjemput bola,-,-
menjemukan,-,-
menjemur,-,-
menjemur bangkai ke atas bukit,"memperlihatkan cela (aib, cacat) sendiri",
menjenaki,-,-
menjenang,-,-
menjenangi,-,-
menjenengkan,-,-
menjengek,-,-
menjengek-jengek,-,-
menjengeki,-,-
menjengguk,-,-
menjenggut,-,-
menjengit,-,-
menjengit-jengit,-,-
menjengkal,-,-
menjengkal dada,mengabaikan keberanian orang,
menjengkal muka,melakukan perbuatan yang sia-sia,
menjengkali,-,-
menjengkang,-,-
menjengkeli,-,-
menjengkelit,-,-
menjengkelkan,-,-
menjengkeng,-,-
menjengket,-,-
menjengking,-,-
menjengkit,-,-
menjengkolet,-,-
menjengkot,-,-
menjenguk,-,-
menjengukkan,-,-
menjengul,-,-
menjenis,-,-
menjentik,-,-
menjenuhkan,-,-
menjepit,-,-
menjeprat,-,-
menjepret,-,-
menjeput,-,-
menjerahap,-,-
menjerakan,-,-
menjeramah,-,-
menjerambah,-,-
menjerang,-,-
menjerangkak,-,-
menjerangkan,-,-
menjerangkang,-,-
menjerap,-,-
menjerat,-,-
menjerauskan,-,-
menjerba,-,-
menjerbak,-,-
menjeremba,-,-
menjerembapkan,-,-
menjerempak,-,-
menjereng,-,-
menjeriau,-,-
menjerihkan,-,-
menjerit,-,-
menjerit-jerit,-,-
menjerkah,-,-
menjernihkan,-,-
menjerojol,-,-
menjerongkok,-,-
menjerongkong,-,-
menjeruki,-,-
menjerukun,-,-
menjerukup,-,-
menjerum,-,-
menjerumat,-,-
menjerumuskan,-,-
menjerungkau,-,-
menjerungkis,-,-
menjerungkung,-,-
menjetis,-,-
menjewer,-,-
menjidari,-,-
menjijikkan,-,-
menjijit,-,-
menjilami,-,-
menjilat,-,-
menjilat air liur,"berbalik memuji sesuatu yang sebelumnya telah dicela, menarik kembali ucapan (janji dan sebagainya) yang pernah dikatakan",
menjilat bibir,-,-
menjilat keluan bagai kerbau,sangat kecewa karena tak sampai maksudnya,
menjilat ludah,-,-
menjilat muntah sendiri,"apa yang telah ditolak atau dicacat, (terpaksa) diterima lagi",
menjilat pantat,-,-
menjilat-jilat,-,-
menjilati,-,-
menjilid,-,-
menjimak,-,-
menjimbit,-,-
menjimpit,-,-
menjinaki,-,-
menjinakkan,-,-
menjingap,-,-
menjingau,-,-
menjingu,-,-
menjinjing,-,-
menjinjingkan,-,-
menjinjit,-,-
menjiplak,-,-
menjirus,-,-
menjitak,-,-
menjitukan,-,-
menjiwai,-,-
menjiwit,-,-
menjodohkan,-,-
menjodongkan,-,-
menjoget,-,-
menjojol,-,-
menjolak,-,-
menjolek,-,-
menjolok,-,-
menjolok anak,menggugurkan kandungan,
menjolok hati,"hendak mengetahui isi hati orang, menganjuk hati",
menjolok sarang tabuhan,berbuat sesuatu yang mendatangkan bahaya,
menjolok sarang tabuhan,sengaja mencari bahaya atau kesusahan,
menjolong,-,-
menjolor,-,-
menjomlo,-,-
menjompak,-,-
menjonget,-,-
menjongkang,-,-
menjongkeh,-,-
menjonjot,-,-
menjoreng,-,-
menjorok,-,-
menjorokkan,-,-
menjorong,-,-
menjotos,-,-
menjuah-juah,-,-
menjuak,-,-
menjuakkan,-,-
menjual,-,-
menjual bangsa,mengkhianati bangsa,
menjual bedil kepada lawan,mencelakakan diri sendiri,
menjual diri,melacurkan diri,
menjual gantung,menggadaikan,
menjual muka,"menjual tampang, memperagakan diri untuk menarik perhatian orang",
menjual nyawa,bunuh diri,
menjual petai hampa,-,-
menjualbelikan,-,-
menjuali,-,-
menjualkan,-,-
menjuarai,-,-
menjubeli,-,-
menjublek,-,-
menjudikan,-,-
menjuduli,-,-
menjujah,-,-
menjuju,-,-
menjujuh,-,-
menjujuri,-,-
menjujut,-,-
menjulai,-,-
menjulang,-,-
menjulat,-,-
menjuling,-,-
menjuluk,-,-
menjuluki,-,-
menjulur,-,-
menjulur-julurkan,-,-
menjulurkan,-,-
menjumbai,-,-
menjumlah,-,-
menjumlahkan,-,-
menjumpai,-,-
menjumput,-,-
menjumputi,-,-
menjunam,-,-
menjungat,-,-
menjungkalkan,-,-
menjungkar,-,-
menjungkat-jungkit,-,-
menjungkir,-,-
menjungkirbalikkan,-,-
menjungkirkan,-,-
menjungkit,-,-
menjungur,-,-
menjunjung,-,-
"menjunjung bersenggulung, mencencang berlandasan","jika ingin melakukan suatu pekerjaan, sediakanlah lebih dahulu alat-alatnya dengan lengkap",
menjunjung duli,"berkhidmat, menghormati",
menjunjung kaki,menjunjung duli,
menjunjung sangkak ayam,mendapat malu besar,
menjunjung tinggi,"memuliakan, menghargai dan menaati (nasihat, perintah, dan sebagainya)",
menjunjung uban,sudah tua,
menjunjung uban,sudah lama sekali menjalankan suatu pekerjaan,
menjunjung uban,"sudah putih rambutnya (sudah tua sekali, sudah berpengalaman banyak, dan sebagainya)",
menjunjungkan,-,-
menjuntai,-,-
menjuntaikan,-,-
menjura,-,-
